Disease,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10,Symptom 11,Symptom 12,Symptom 13,Symptom 14,Symptom 15,Symptom 16,Symptom 17
ГЕРХ,біль у шлунку,підвищена кислотність,виразки на язиці,блювання,біль у грудях,,,,,,,,,,,,
ГЕРХ,біль у шлунку,підвищена кислотність,виразки на язиці,блювання,кашель,,,,,,,,,,,,
ГЕРХ,підвищена кислотність,виразки на язиці,блювання,кашель,біль у грудях,,,,,,,,,,,,
ГЕРХ,біль у шлунку,виразки на язиці,блювання,кашель,біль у грудях,,,,,,,,,,,,
ГЕРХ,біль у шлунку,кислотність,блювання,кашель,біль у грудях,,,,,,,,,,,,
ГЕРХ,біль у шлунку,підвищена кислотність,виразки на язиці,кашель,біль у грудях,,,,,,,,,,,,
Хронічний холестаз,свербіж,блювання,жовтувата шкіра,нудота,втрата апетиту,біль у животі,пожовтіння очей,,,,,,,,,,
Хронічний холестаз,блювання,жовтувата шкіра,нудота,втрата апетиту,біль у животі,пожовтіння очей,,,,,,,,,,,
Хронічний холестаз,свербіж,жовтувата шкіра,нудота,втрата апетиту,біль у животі,пожовтіння очей,,,,,,,,,,,
Хронічний холестаз,свербіж,блювання,нудота,втрата апетиту,біль у животі,пожовтіння очей,,,,,,,,,,,
Хронічний холестаз,свербіж,блювання,жовтувата шкіра,втрата апетиту,біль у животі,пожовтіння очей,,,,,,,,,,,
Хронічний холестаз,свербіж,блювання,жовтувата шкіра,нудота,біль у животі,пожовтіння очей,,,,,,,,,,,
Хронічний холестаз,свербіж,блювання,жовтувата шкіра,нудота,втрата апетиту,пожовтіння очей,,,,,,,,,,,
Хронічний холестаз,свербіж,блювання,жовтувата шкіра,нудота,втрата апетиту,біль у животі,,,,,,,,,,,
Хронічний холестаз,свербіж,блювання,жовтувата шкіра,нудота,втрата апетиту,біль у животі,пожовтіння очей,,,,,,,,,,
Хронічний холестаз,свербіж,блювання,жовтувата шкіра,нудота,втрата апетиту,біль у животі,пожовтіння очей,,,,,,,,,,
Реакція на ліки,свербіж,шкірний висип,біль у шлунку,печіння сечовипускання,кров’янисті сечовипускання,,,,,,,,,,,,
Реакція на ліки,свербіж,біль у шлунку,печіння при сечовипусканні,кров’янисті сечовипускання,,,,,,,,,,,,,
Реакція на ліки,свербіж,шкірний висип,печіння сечовипускання,кров’янисті сечовипускання,,,,,,,,,,,,,
Реакція на ліки,свербіж,шкірний висип,біль у шлунку,кров’янисті сечовипускання,,,,,,,,,,,,,
Реакція на ліки,свербіж,шкірний висип,біль у животі,печіння сечовипускання,,,,,,,,,,,,,
Реакція на ліки,шкірний висип,біль у шлунку,печіння при сечовипусканні,кров’янисті виділення,,,,,,,,,,,,,
Реакція на ліки,свербіж,біль у шлунку,печіння при сечовипусканні,кров’янисті сечовипускання,,,,,,,,,,,,,
Реакція на ліки,свербіж,шкірний висип,печіння сечовипускання,кров’янисті сечовипускання,,,,,,,,,,,,,
Реакція на ліки,свербіж,шкірний висип,біль у шлунку,кров’янисті сечовипускання,,,,,,,,,,,,,
Реакція на ліки,свербіж,шкірний висип,біль у животі,печіння сечовипускання,,,,,,,,,,,,,
Виразкова хвороба,блювання,втрата апетиту,біль у животі,відходження газів,внутрішній свербіж,,,,,,,,,,,,
Виразкова хвороба,блювання,розлад травлення,біль у животі,відходження газів,внутрішній свербіж,,,,,,,,,,,,
Виразкова хвороба,розлад травлення,втрата апетиту,біль у животі,відходження газів,внутрішній свербіж,,,,,,,,,,,,
Виразкова хвороба,блювання,втрата апетиту,біль у животі,відходження газів,внутрішній свербіж,,,,,,,,,,,,
Виразкова хвороба,блювання,розлад травлення,біль у животі,відходження газів,внутрішній свербіж,,,,,,,,,,,,
Виразкова хвороба,блювання,розлад травлення,втрата апетиту,відходження газів,внутрішній свербіж,,,,,,,,,,,,
Виразкова хвороба,блювання,розлад травлення,втрата апетиту,біль у животі,внутрішній свербіж,,,,,,,,,,,,
Виразкова хвороба,блювання,розлад травлення,втрата апетиту,біль у животі,виділення газів,,,,,,,,,,,,
Виразкова хвороба,блювання,розлад травлення,втрата апетиту,біль у животі,відходження газів,внутрішній свербіж,,,,,,,,,,,
Виразкова хвороба,блювання,розлад травлення,втрата апетиту,біль у животі,відходження газів,внутрішній свербіж,,,,,,,,,,,
ВІЛ/СНІД,виснаження м’язів,плями в горлі,висока температура,позашлюбні контакти,,,,,,,,,,,,,
ВІЛ/СНІД,плями в горлі,висока температура,позашлюбні контакти,,,,,,,,,,,,,,
ВІЛ/СНІД,виснаження м’язів,висока температура,позашлюбні контакти,,,,,,,,,,,,,,
ВІЛ/СНІД,виснаження м’язів,плями в горлі,позашлюбні контакти,,,,,,,,,,,,,,
ВІЛ/СНІД,виснаження м’язів,плями в горлі,висока температура,,,,,,,,,,,,,,
ВІЛ/СНІД,виснаження м’язів,плями в горлі,висока температура,позашлюбні контакти,,,,,,,,,,,,,
ВІЛ/СНІД,виснаження м’язів,плями в горлі,висока температура,позашлюбні контакти,,,,,,,,,,,,,
ВІЛ/СНІД,плями в горлі,висока температура,позашлюбні контакти,,,,,,,,,,,,,,
ВІЛ/СНІД,виснаження м’язів,висока температура,позашлюбні контакти,,,,,,,,,,,,,,
ВІЛ/СНІД,виснаження м’язів,плями в горлі,висока температура,,,,,,,,,,,,,,
Діабет,втома,втрата ваги,неспокій,млявість,нерегулярний рівень цукру,затуманення та спотворення зору,ожиріння,надмірний голод,підвищений апетит,поліурія,,,,,,,
Діабет,втома,втрата ваги,неспокій,млявість,нерегулярний рівень цукру,затуманення та спотворення зору,ожиріння,надмірний голод,підвищений апетит,поліурія,,,,,,,
Діабет,втрата ваги,неспокій,млявість,нерегулярний рівень цукру,затуманення та спотворення зору,ожиріння,надмірний голод,підвищений апетит,поліурія,,,,,,,,
Діабет,втома,неспокій,млявість,нерегулярний рівень цукру,затуманення та спотворення зору,ожиріння,надмірний голод,підвищений апетит,поліурія,,,,,,,,
Діабет,втома,втрата ваги,млявість,нерегулярний рівень цукру,затуманення та спотворення зору,ожиріння,надмірний голод,підвищений апетит,поліурія,,,,,,,,
Діабет,втома,втрата ваги,неспокій,нерегулярний рівень цукру,затуманення та спотворення зору,ожиріння,надмірний голод,підвищений апетит,поліурія,,,,,,,,
Діабет,втома,втрата ваги,неспокій,млявість,затуманення та спотворення зору,ожиріння,надмірний голод,підвищений апетит,поліурія,,,,,,,,
Діабет,втома,втрата ваги,неспокій,млявість,нерегулярний рівень цукру,ожиріння,надмірний голод,підвищений апетит,поліурія,,,,,,,,
Діабет,втома,втрата ваги,неспокій,млявість,нерегулярний рівень цукру,затуманення та спотворення зору,надмірний голод,підвищений апетит,поліурія,,,,,,,,
Діабет,втома,втрата ваги,неспокій,млявість,нерегулярний рівень цукру,затуманення та спотворення зору,ожиріння,підвищений апетит,поліурія,,,,,,,,
Гастроентерит,блювання,запалі очі,зневоднення,діарея,,,,,,,,,,,,,
Гастроентерит,блювання,запалі очі,зневоднення,діарея,,,,,,,,,,,,,
Гастроентерит,запалі очі,зневоднення,діарея,,,,,,,,,,,,,,
Гастроентерит,блювання,зневоднення,діарея,,,,,,,,,,,,,,
Гастроентерит,блювання,запалі очі,діарея,,,,,,,,,,,,,,
Гастроентерит,блювання,запалі очі,зневоднення,,,,,,,,,,,,,,
Гастроентерит,блювання,запалі очі,зневоднення,діарея,,,,,,,,,,,,,
Гастроентерит,запалі очі,зневоднення,діарея,,,,,,,,,,,,,,
Гастроентерит,блювання,зневоднення,діарея,,,,,,,,,,,,,,
Гастроентерит,блювання,запалі очі,діарея,,,,,,,,,,,,,,
Бронхіальна астма,втома,кашель,висока температура,задишка,сімейний анамнез,слизове мокротиння,,,,,,,,,,,
Бронхіальна астма,кашель,висока температура,задишка,сімейний анамнез,слизове мокротиння,,,,,,,,,,,,
Бронхіальна астма,втома,висока температура,задишка,сімейний анамнез,слизове мокротиння,,,,,,,,,,,,
Бронхіальна астма,втома,кашель,задишка,сімейний анамнез,слизове мокротиння,,,,,,,,,,,,
Бронхіальна астма,втома,кашель,висока температура,сімейний анамнез,слизове мокротиння,,,,,,,,,,,,
Бронхіальна астма,втома,кашель,висока температура,задишка,слизове мокротиння,,,,,,,,,,,,
Бронхіальна астма,втома,кашель,висока температура,задишка,сімейний анамнез,,,,,,,,,,,,
Бронхіальна астма,втома,кашель,висока температура,задишка,сімейний анамнез,слизове мокротиння,,,,,,,,,,,
Бронхіальна астма,кашель,висока температура,задишка,сімейний анамнез,слизове мокротиння,,,,,,,,,,,,
Бронхіальна астма,втома,висока температура,задишка,сімейний анамнез,слизове мокротиння,,,,,,,,,,,,
Гіпертонія,головний біль,біль у грудях,запаморочення,втрата рівноваги,відсутність концентрації,,,,,,,,,,,,
Гіпертонія,біль у грудях,запаморочення,втрата рівноваги,відсутність концентрації,,,,,,,,,,,,,
Гіпертонія,головний біль,запаморочення,втрата рівноваги,відсутність концентрації,,,,,,,,,,,,,
Гіпертонія,головний біль,біль у грудях,втрата рівноваги,відсутність концентрації,,,,,,,,,,,,,
Гіпертонія,головний біль,біль у грудях,запаморочення,відсутність концентрації,,,,,,,,,,,,,
Гіпертонія,головний біль,біль у грудях,запаморочення,втрата рівноваги,,,,,,,,,,,,,
Гіпертонія,головний біль,біль у грудях,запаморочення,втрата рівноваги,відсутність концентрації,,,,,,,,,,,,
Гіпертонія,біль у грудях,запаморочення,втрата рівноваги,відсутність концентрації,,,,,,,,,,,,,
Гіпертонія,головний біль,запаморочення,втрата рівноваги,відсутність концентрації,,,,,,,,,,,,,
Гіпертонія,головний біль,біль у грудях,втрата рівноваги,відсутність концентрації,,,,,,,,,,,,,
Мігрень,підвищена кислотність,розлад травлення,головний біль,затуманення та спотворення зору,надмірний голод,ригідність шиї,депресія,дратівливість,розлади зору,,,,,,,,
Мігрень,розлад травлення,головний біль,затуманення та спотворення зору,надмірний голод,ригідність шиї,депресія,дратівливість,розлади зору,,,,,,,,,
Мігрень,підвищена кислотність,головний біль,затуманення та спотворення зору,надмірний голод,ригідність шиї,депресія,дратівливість,розлади зору,,,,,,,,,
Мігрень,підвищена кислотність,розлад травлення,затуманення та спотворення зору,надмірний голод,ригідність шиї,депресія,дратівливість,розлади зору,,,,,,,,,
Мігрень,підвищена кислотність,розлад травлення,головний біль,надмірний голод,ригідність шиї,депресія,дратівливість,розлади зору,,,,,,,,,
Мігрень,підвищена кислотність,розлад травлення,головний біль,розмитість і викривлення зору,ригідність шиї,депресія,дратівливість,розлади зору,,,,,,,,,
Мігрень,підвищена кислотність,розлад травлення,головний біль,затуманення та спотворення зору,надмірний голод,депресія,дратівливість,розлади зору,,,,,,,,,
Мігрень,підвищена кислотність,розлад травлення,головний біль,затуманення та спотворення зору,надмірний голод,ригідність шиї,дратівливість,розлади зору,,,,,,,,,
Мігрень,підвищена кислотність,розлад травлення,головний біль,затуманення та спотворення зору,надмірний голод,ригідність шиї,депресія,розлади зору,,,,,,,,,
Мігрень,підвищена кислотність,розлад травлення,головний біль,затуманення та спотворення зору,надмірний голод,ригідність шиї,депресія,дратівливість,,,,,,,,,
Шийний спондильоз,біль у спині,слабкість у кінцівках,біль у шиї,запаморочення,втрата рівноваги,,,,,,,,,,,,
Шийний спондильоз,біль у спині,слабкість у кінцівках,біль у шиї,запаморочення,втрата рівноваги,,,,,,,,,,,,
Шийний спондильоз,слабкість у кінцівках,біль у шиї,запаморочення,втрата рівноваги,,,,,,,,,,,,,
Шийний спондильоз,біль у спині,біль у шиї,запаморочення,втрата рівноваги,,,,,,,,,,,,,
Шийний спондильоз,біль у спині,слабкість у кінцівках,запаморочення,втрата рівноваги,,,,,,,,,,,,,
Шийний спондильоз,біль у спині,слабкість у кінцівках,біль у шиї,втрата рівноваги,,,,,,,,,,,,,
Шийний спондильоз,біль у спині,слабкість у кінцівках,біль у шиї,запаморочення,,,,,,,,,,,,,
Шийний спондильоз,біль у спині,слабкість у кінцівках,біль у шиї,запаморочення,втрата рівноваги,,,,,,,,,,,,
Шийний спондильоз,слабкість у кінцівках,біль у шиї,запаморочення,втрата рівноваги,,,,,,,,,,,,,
Шийний спондильоз,біль у спині,біль у шиї,запаморочення,втрата рівноваги,,,,,,,,,,,,,
Крововилив у мозок,блювання,головний біль,слабкість однієї сторони тіла,зміна чутливості,,,,,,,,,,,,,
Крововилив у мозок,блювання,головний біль,слабкість однієї сторони тіла,зміна чутливості,,,,,,,,,,,,,
Крововилив у мозок,головний біль,слабкість однієї сторони тіла,зміна чутливості,,,,,,,,,,,,,,
Крововилив у мозок,блювання,слабкість однієї сторони тіла,зміна сенсорної системи,,,,,,,,,,,,,,
Крововилив у мозок,блювання,головний біль,порушення чутливості,,,,,,,,,,,,,,
Крововилив у мозок,блювання,головний біль,слабкість однієї сторони тіла,,,,,,,,,,,,,,
Крововилив у мозок,блювання,головний біль,слабкість однієї сторони тіла,зміна чутливості,,,,,,,,,,,,,
Крововилив у мозок,головний біль,слабкість однієї сторони тіла,зміна чутливості,,,,,,,,,,,,,,
Крововилив у мозок,блювання,слабкість однієї сторони тіла,зміна сенсорної системи,,,,,,,,,,,,,,
Крововилив у мозок,блювання,головний біль,порушення чутливості,,,,,,,,,,,,,,
Жовтяниця,свербіж,блювання,втома,втрата ваги,висока температура,жовтувата шкіра,темна сеча,біль у животі,,,,,,,,,
Жовтяниця,свербіж,блювання,втома,втрата ваги,висока температура,жовтувата шкіра,темна сеча,біль у животі,,,,,,,,,
Жовтяниця,блювання,втома,втрата ваги,висока температура,жовтувата шкіра,темна сеча,біль у животі,,,,,,,,,,
Жовтяниця,свербіж,втома,втрата ваги,висока температура,жовтувата шкіра,темна сеча,біль у животі,,,,,,,,,,
Жовтяниця,свербіж,блювання,втрата ваги,висока температура,жовтувата шкіра,темна сеча,біль у животі,,,,,,,,,,
Жовтяниця,свербіж,блювання,втома,висока температура,жовтувата шкіра,темна сеча,біль у животі,,,,,,,,,,
Жовтяниця,свербіж,блювання,втома,втрата ваги,жовтувата шкіра,темна сеча,біль у животі,,,,,,,,,,
Жовтяниця,свербіж,блювання,втома,втрата ваги,висока температура,темна сеча,біль у животі,,,,,,,,,,
Жовтяниця,свербіж,блювання,втома,втрата ваги,висока температура,жовтувата шкіра,біль у животі,,,,,,,,,,
Жовтяниця,свербіж,блювання,втома,втрата ваги,висока температура,жовтувата шкіра,темна сеча,,,,,,,,,,
Малярія,озноб,блювання,висока температура,пітливість,головний біль,нудота,біль у м’язах,,,,,,,,,,
Малярія,озноб,блювання,висока температура,пітливість,головний біль,нудота,діарея,біль у м’язах,,,,,,,,,
Малярія,озноб,блювання,висока температура,пітливість,головний біль,нудота,діарея,біль у м’язах,,,,,,,,,
Малярія,блювання,висока температура,пітливість,головний біль,нудота,діарея,біль у м’язах,,,,,,,,,,
Малярія,озноб,висока температура,пітливість,головний біль,нудота,діарея,біль у м’язах,,,,,,,,,,
Малярія,озноб,блювання,пітливість,головний біль,нудота,діарея,біль у м’язах,,,,,,,,,,
Малярія,озноб,блювання,висока температура,головний біль,нудота,діарея,біль у м’язах,,,,,,,,,,
Малярія,озноб,блювання,висока температура,пітливість,нудота,діарея,біль у м’язах,,,,,,,,,,
Малярія,озноб,блювання,висока температура,пітливість,головний біль,діарея,біль у м’язах,,,,,,,,,,
Малярія,озноб,блювання,висока температура,пітливість,головний біль,нудота,біль у м’язах,,,,,,,,,,
Вітряна віспа,свербіж,шкірний висип,втома,млявість,висока температура,головний біль,втрата апетиту,легка лихоманка,збільшення лімфовузлів,нездужання,червоні плями на тілі,,,,,,
Вітряна віспа,шкірний висип,втома,млявість,висока температура,головний біль,втрата апетиту,легка лихоманка,збільшення лімфовузлів,нездужання,червоні плями на тілі,,,,,,,
Вітряна віспа,свербіж,втома,млявість,висока температура,головний біль,втрата апетиту,легка лихоманка,збільшення лімфовузлів,нездужання,червоні плями на тілі,,,,,,,
Вітряна віспа,свербіж,шкірний висип,млявість,висока температура,головний біль,втрата апетиту,легка лихоманка,збільшення лімфовузлів,нездужання,червоні плями на тілі,,,,,,,
Вітряна віспа,свербіж,шкірний висип,втома,висока температура,головний біль,втрата апетиту,легка лихоманка,збільшення лімфовузлів,нездужання,червоні плями на тілі,,,,,,,
Вітряна віспа,свербіж,шкірний висип,втома,млявість,головний біль,втрата апетиту,легка лихоманка,збільшення лімфовузлів,нездужання,червоні плями на тілі,,,,,,,
Вітряна віспа,свербіж,шкірний висип,втома,млявість,висока температура,втрата апетиту,легка лихоманка,збільшення лімфовузлів,нездужання,червоні плями на тілі,,,,,,,
Вітряна віспа,свербіж,шкірний висип,втома,млявість,висока температура,головний біль,легка лихоманка,збільшення лімфовузлів,нездужання,червоні плями на тілі,,,,,,,
Вітряна віспа,свербіж,шкірний висип,втома,млявість,висока температура,головний біль,втрата апетиту,збільшення лімфовузлів,нездужання,червоні плями на тілі,,,,,,,
Вітряна віспа,свербіж,шкірний висип,втома,млявість,висока температура,головний біль,втрата апетиту,легка лихоманка,нездужання,червоні плями на тілі,,,,,,,
Денге,шкірний висип,озноб,біль у суглобах,блювання,втома,висока температура,головний біль,нудота,втрата апетиту,біль за очима,біль у спині,біль у м’язах,червоні плями на тілі,,,,
Денге,шкірний висип,озноб,біль у суглобах,блювання,втома,висока температура,головний біль,нудота,втрата апетиту,біль за очима,біль у спині,нездужання,червоні плями на тілі,,,,
Денге,шкірний висип,озноб,біль у суглобах,блювання,втома,висока температура,головний біль,нудота,втрата апетиту,біль за очима,біль у спині,нездужання,біль у м’язах,,,,
Денге,шкірний висип,озноб,біль у суглобах,блювання,втома,висока температура,головний біль,нудота,втрата апетиту,біль за очима,біль у спині,нездужання,біль у м’язах,червоні плями на тілі,,,
Денге,озноб,біль у суглобах,блювання,втома,висока температура,головний біль,нудота,втрата апетиту,біль за очима,біль у спині,нездужання,біль у м’язах,червоні плями на тілі,,,,
Денге,шкірний висип,біль у суглобах,блювання,втома,висока температура,головний біль,нудота,втрата апетиту,біль за очима,біль у спині,нездужання,біль у м’язах,червоні плями на тілі,,,,
Денге,шкірний висип,озноб,блювання,втома,висока температура,головний біль,нудота,втрата апетиту,біль за очима,біль у спині,нездужання,біль у м’язах,червоні плями на тілі,,,,
Денге,шкірний висип,озноб,біль у суглобах,втома,висока температура,головний біль,нудота,втрата апетиту,біль за очима,біль у спині,нездужання,біль у м’язах,червоні плями на тілі,,,,
Денге,шкірний висип,озноб,біль у суглобах,блювання,висока температура,головний біль,нудота,втрата апетиту,біль за очима,біль у спині,нездужання,біль у м’язах,червоні плями на тілі,,,,
Денге,шкірний висип,озноб,біль у суглобах,блювання,втома,головний біль,нудота,втрата апетиту,біль за очима,біль у спині,нездужання,біль у м’язах,червоні плями на тілі,,,,
Черевний тиф,озноб,блювання,втома,висока температура,нудота,запор,біль у животі,діарея,токсичний вигляд,біль у животі,,,,,,,
Черевний тиф,озноб,блювання,втома,висока температура,головний біль,запор,біль у животі,діарея,токсичний вигляд,біль у животі,,,,,,,
Черевний тиф,озноб,блювання,втома,висока температура,головний біль,нудота,біль у животі,діарея,токсичний вигляд,біль у животі,,,,,,,
Черевний тиф,озноб,блювання,втома,висока температура,головний біль,нудота,запор,діарея,токсичний вигляд,біль у животі,,,,,,,
Черевний тиф,озноб,блювання,втома,висока температура,головний біль,нудота,запор,біль у животі,токсичний вигляд,біль у животі,,,,,,,
Черевний тиф,озноб,блювання,втома,висока температура,головний біль,нудота,запор,біль у животі,діарея,біль у животі,,,,,,,
Черевний тиф,озноб,блювання,втома,висока температура,головний біль,нудота,запор,біль у животі,діарея,токсичний вигляд,,,,,,,
Черевний тиф,озноб,блювання,втома,висока температура,головний біль,нудота,запор,біль у животі,діарея,токсичний вигляд,біль у животі,,,,,,
Черевний тиф,озноб,блювання,втома,висока температура,головний біль,нудота,запор,біль у животі,діарея,токсичний вигляд,біль у животі,,,,,,
Черевний тиф,озноб,втома,висока температура,головний біль,нудота,запор,біль у животі,діарея,токсичний вигляд (тиф),біль у животі,,,,,,,
гепатит А,біль у суглобах,блювання,жовтувата шкіра,темна сеча,нудота,втрата апетиту,біль у животі,діарея,легка лихоманка,пожовтіння очей,біль у м’язах,,,,,,
гепатит А,біль у суглобах,блювання,жовтувата шкіра,темна сеча,нудота,втрата апетиту,біль у животі,діарея,легка лихоманка,пожовтіння очей,біль у м’язах,,,,,,
гепатит А,блювання,жовтувата шкіра,темна сеча,нудота,втрата апетиту,біль у животі,діарея,легка лихоманка,пожовтіння очей,біль у м’язах,,,,,,,
гепатит А,біль у суглобах,жовтувата шкіра,темна сеча,нудота,втрата апетиту,біль у животі,діарея,легка лихоманка,пожовтіння очей,біль у м’язах,,,,,,,
гепатит А,біль у суглобах,блювання,темна сеча,нудота,втрата апетиту,біль у животі,діарея,легка лихоманка,пожовтіння очей,біль у м’язах,,,,,,,
гепатит А,біль у суглобах,блювання,жовтувата шкіра,нудота,втрата апетиту,біль у животі,діарея,легка лихоманка,пожовтіння очей,біль у м’язах,,,,,,,
гепатит А,біль у суглобах,блювання,жовтувата шкіра,темна сеча,втрата апетиту,біль у животі,діарея,легка лихоманка,пожовтіння очей,біль у м’язах,,,,,,,
гепатит А,біль у суглобах,блювання,жовтувата шкіра,темна сеча,нудота,біль у животі,діарея,легка лихоманка,пожовтіння очей,біль у м’язах,,,,,,,
гепатит А,біль у суглобах,блювання,жовтувата шкіра,темна сеча,нудота,втрата апетиту,діарея,легка лихоманка,пожовтіння очей,біль у м’язах,,,,,,,
гепатит А,біль у суглобах,блювання,жовтувата шкіра,темна сеча,нудота,втрата апетиту,біль у животі,легка лихоманка,пожовтіння очей,біль у м’язах,,,,,,,
Гепатит В,свербіж,втома,млявість,жовтувата шкіра,темна сеча,втрата апетиту,біль у животі,жовта сеча,жовті очі,нездужання,переливання крові,нестерильні ін’єкції,,,,,
Гепатит В,свербіж,втома,млявість,жовтувата шкіра,темна сеча,втрата апетиту,біль у животі,жовта сеча,жовті очі,нездужання,переливання крові,нестерильні ін’єкції,,,,,
Гепатит В,втома,млявість,жовтувата шкіра,темна сеча,втрата апетиту,біль у животі,жовта сеча,жовті очі,нездужання,переливання крові,нестерильні ін’єкції,,,,,,
Гепатит В,свербіж,млявість,жовтувата шкіра,темна сеча,втрата апетиту,біль у животі,жовта сеча,пожовтіння очей,нездужання,переливання крові,нестерильні ін’єкції,,,,,,
Гепатит В,свербіж,втома,жовтувата шкіра,темна сеча,втрата апетиту,біль у животі,жовта сеча,пожовтіння очей,нездужання,переливання крові,нестерильні ін’єкції,,,,,,
Гепатит В,свербіж,втома,млявість,темна сеча,втрата апетиту,біль у животі,жовта сеча,пожовтіння очей,нездужання,переливання крові,нестерильні ін’єкції,,,,,,
Гепатит В,свербіж,втома,млявість,жовтувата шкіра,втрата апетиту,біль у животі,жовта сеча,пожовтіння очей,нездужання,переливання крові,нестерильні ін’єкції,,,,,,
Гепатит В,свербіж,втома,млявість,жовтувата шкіра,темна сеча,біль у животі,жовта сеча,пожовтіння очей,нездужання,переливання крові,нестерильні ін’єкції,,,,,,
Гепатит В,свербіж,втома,млявість,жовтувата шкіра,темна сеча,втрата апетиту,жовта сеча,пожовтіння очей,нездужання,переливання крові,нестерильні ін’єкції,,,,,,
Гепатит В,свербіж,втома,млявість,жовтувата шкіра,темна сеча,втрата апетиту,біль у животі,пожовтіння очей,нездужання,переливання крові,нестерильні ін’єкції,,,,,,
Гепатит С,втома,жовтувата шкіра,нудота,втрата апетиту,сімейний анамнез,,,,,,,,,,,,
Гепатит С,втома,жовтувата шкіра,нудота,втрата апетиту,пожовтіння очей,сімейний анамнез,,,,,,,,,,,
Гепатит С,жовтувата шкіра,нудота,втрата апетиту,пожовтіння очей,сімейний анамнез,,,,,,,,,,,,
Гепатит С,втома,нудота,втрата апетиту,пожовтіння очей,сімейний анамнез,,,,,,,,,,,,
Гепатит С,втома,жовтувата шкіра,втрата апетиту,пожовтіння очей,сімейний анамнез,,,,,,,,,,,,
Гепатит С,втома,жовтувата шкіра,нудота,пожовтіння очей,сімейний анамнез,,,,,,,,,,,,
Гепатит С,втома,жовтувата шкіра,нудота,втрата апетиту,сімейний анамнез,,,,,,,,,,,,
Гепатит С,втома,жовтувата шкіра,нудота,втрата апетиту,пожовтіння очей,,,,,,,,,,,,
Гепатит С,втома,жовтувата шкіра,нудота,втрата апетиту,пожовтіння очей,сімейний анамнез,,,,,,,,,,,
Гепатит С,втома,жовтувата шкіра,нудота,втрата апетиту,пожовтіння очей,сімейний анамнез,,,,,,,,,,,
Гепатит D,біль у суглобах,блювання,втома,жовтувата шкіра,темна сеча,нудота,втрата апетиту,біль у животі,пожовтіння очей,,,,,,,,
Гепатит D,блювання,втома,жовтувата шкіра,темна сеча,нудота,втрата апетиту,біль у животі,пожовтіння очей,,,,,,,,,
Гепатит D,біль у суглобах,втома,жовтувата шкіра,темна сеча,нудота,втрата апетиту,біль у животі,пожовтіння очей,,,,,,,,,
Гепатит D,біль у суглобах,блювання,жовтувата шкіра,темна сеча,нудота,втрата апетиту,біль у животі,пожовтіння очей,,,,,,,,,
Гепатит D,біль у суглобах,блювання,втома,темна сеча,нудота,втрата апетиту,біль у животі,пожовтіння очей,,,,,,,,,
Гепатит D,біль у суглобах,блювання,втома,жовтувата шкіра,нудота,втрата апетиту,біль у животі,пожовтіння очей,,,,,,,,,
